lang,psz,reqs,conns,avgcpu,maxcpu,avgmem,maxmem,ttltstt,preqmt,trrc,trs,connlat,connproc
golang,2,100000,10,116.556,119.000,0.117,0.120,9.215,0.922,1345.860,0.000,0.000,1.000
golang,4,100000,10,119.100,129.000,0.113,0.120,10.408,1.041,1191.650,0.000,0.000,1.000
golang,8,100000,10,120.608,132.000,0.113,0.120,11.418,1.142,1086.200,0.000,0.000,1.000
golang,16,100000,10,123.100,131.000,0.111,0.120,9.920,0.992,1250.180,0.000,0.000,1.000
golang,32,100000,10,117.572,132.000,0.111,0.120,12.000,1.200,1033.550,0.000,0.000,1.000
golang,64,100000,10,120.800,125.000,0.110,0.110,10.554,1.055,1175.080,0.000,0.000,1.000
golang,2,100000,100,103.889,107.000,0.101,0.110,9.795,9.795,1266.150,0.000,4.000,6.000
golang,4,100000,100,108.667,111.000,0.100,0.100,9.245,9.245,1341.550,0.000,4.000,5.000
golang,8,100000,100,110.444,113.000,0.100,0.100,9.313,9.313,1331.750,0.000,4.000,5.000
golang,16,100000,100,103.200,114.000,0.115,0.120,10.687,10.687,1160.460,0.000,5.000,6.000
golang,32,100000,100,104.900,115.000,0.109,0.110,10.142,10.142,1222.850,0.000,5.000,5.000
golang,64,100000,100,108.900,116.000,0.113,0.120,10.176,10.176,1218.770,0.000,5.000,5.000
golang,2,100000,1000,94.700,100.000,0.104,0.110,9.987,99.868,1241.870,0.000,42.000,57.000
golang,4,100000,1000,91.333,95.000,0.112,0.120,9.623,96.232,1288.800,0.000,43.000,53.000
golang,8,100000,1000,89.111,92.000,0.118,0.120,9.872,98.717,1256.350,0.000,45.000,53.000
golang,16,100000,1000,87.600,91.000,0.128,0.130,10.106,101.063,1227.190,0.000,47.000,53.000
golang,32,100000,1000,90.300,96.000,0.115,0.120,10.008,100.076,1239.290,0.000,47.000,53.000
golang,64,100000,1000,92.100,98.000,0.114,0.120,9.916,99.155,1250.800,0.000,47.000,52.000
rust,2,100000,10,99.000,102.000,0.040,0.040,7.000,0.700,1813.550,0.000,0.000,0.000
rust,4,100000,10,106.429,108.000,0.030,0.030,7.468,0.747,1699.870,0.000,0.000,0.000
rust,8,100000,10,117.000,118.000,0.030,0.030,7.702,0.770,1648.270,0.000,0.000,0.000
rust,16,100000,10,119.143,121.000,0.040,0.040,7.723,0.772,1643.810,0.000,0.000,0.000
rust,32,100000,10,122.000,123.000,0.040,0.040,7.685,0.769,1651.930,0.000,0.000,0.000
rust,64,100000,10,124.571,126.000,0.060,0.060,7.661,0.766,1657.210,0.000,0.000,0.000
rust,2,100000,100,96.429,103.000,0.030,0.030,7.087,7.087,1791.450,0.000,3.000,4.000
rust,4,100000,100,107.286,108.000,0.030,0.030,7.084,7.084,1792.080,0.000,3.000,4.000
rust,8,100000,100,118.429,120.000,0.040,0.040,7.378,7.378,1720.800,0.000,3.000,4.000
rust,16,100000,100,123.000,124.000,0.020,0.020,7.427,7.427,1709.430,0.000,4.000,4.000
rust,32,100000,100,124.857,126.000,0.040,0.040,7.633,7.633,1663.280,0.000,4.000,4.000
rust,64,100000,100,119.750,122.000,0.060,0.060,7.972,7.972,1592.430,0.000,4.000,4.000
rust,2,100000,1000,94.286,102.000,0.030,0.030,7.246,72.465,1751.930,0.000,37.000,35.000
rust,4,100000,1000,103.286,112.000,0.040,0.040,7.235,72.351,1754.690,0.000,37.000,35.000
rust,8,100000,1000,107.714,122.000,0.030,0.030,7.524,75.241,1687.280,0.000,41.000,34.000
rust,16,100000,1000,109.000,113.000,0.020,0.020,7.800,78.005,1627.510,0.000,41.000,36.000
rust,32,100000,1000,114.571,124.000,0.030,0.030,7.754,77.542,1637.230,0.000,42.000,36.000
rust,64,100000,1000,116.857,119.000,0.069,0.070,7.749,77.493,1638.240,0.000,42.000,35.000
