lang,psz,reqs,conns,avgcpu,maxcpu,avgmem,maxmem,ttltstt,preqmt,trrc,trs,connlat,connproc
go,2,100000,10,127.375,129.000,0.120,0.120,8.405,0.841,441.510,2393.430,0.000,0.000
go,4,100000,10,129.000,131.000,0.105,0.110,8.476,0.848,437.840,2373.550,0.000,0.000
go,8,100000,10,136.625,138.000,0.129,0.130,8.691,0.869,426.980,2314.670,0.000,1.000
go,16,100000,10,137.330,139.000,0.100,0.100,8.723,0.872,425.400,2306.090,0.000,1.000
go,32,100000,10,138.500,140.000,0.115,0.120,8.720,0.872,425.570,2307.030,0.000,1.000
go,64,100000,10,138.875,141.000,0.100,0.110,8.791,0.879,422.130,2288.370,0.000,1.000
go,2,100000,100,118.750,119.000,0.116,0.120,8.877,8.877,418.050,2266.290,4.000,5.000
go,4,100000,100,128.000,129.000,0.112,0.120,8.668,8.668,428.110,2320.800,4.000,5.000
go,8,100000,100,131.125,135.000,0.115,0.120,8.675,8.675,427.780,2318.990,4.000,5.000
go,16,100000,100,133.125,137.000,0.114,0.120,8.576,8.576,432.720,2345.780,4.000,5.000
go,32,100000,100,132.125,134.000,0.101,0.110,8.589,8.589,432.040,2342.120,4.000,4.000
go,64,100000,100,126.000,128.000,0.129,0.130,9.229,9.229,402.100,2179.780,4.000,5.000
go,2,100000,1000,120.625,122.000,0.117,0.120,8.732,87.317,425.000,2303.920,36.000,51.000
go,4,100000,1000,116.500,119.000,0.111,0.120,8.674,86.745,427.800,2319.120,38.000,49.000
go,8,100000,1000,115.375,117.000,0.100,0.100,8.527,85.268,435.210,2359.280,39.000,46.000
go,16,100000,1000,115.375,118.000,0.114,0.120,8.535,85.347,434.810,2357.110,40.000,45.000
go,32,100000,1000,117.605,120.000,0.086,0.090,8.565,85.653,433.250,2348.680,40.000,45.000
go,64,100000,1000,118.875,123.000,0.125,0.130,8.592,85.918,431.920,2341.440,41.000,44.000
rust,2,100000,10,112.429,115.000,0.020,0.020,7.146,0.715,519.280,2815.030,0.000,0.000
rust,4,100000,10,124.143,126.000,0.020,0.020,7.514,0.751,493.900,2677.450,0.000,0.000
rust,8,100000,10,127.375,140.000,0.040,0.040,8.653,0.865,428.860,2324.870,0.000,1.000
rust,16,100000,10,138.000,144.000,0.040,0.040,8.231,0.823,450.850,2444.090,0.000,0.000
rust,32,100000,10,145.286,148.000,0.060,0.060,7.781,0.778,476.930,2585.460,0.000,0.000
rust,64,100000,10,146.286,148.000,0.060,0.060,7.844,0.784,473.080,2564.570,0.000,0.000
rust,2,100000,100,103.571,107.000,0.020,0.020,7.614,7.614,487.380,2642.120,3.000,4.000
rust,4,100000,100,115.143,118.000,0.040,0.040,7.666,7.666,484.060,2624.120,3.000,4.000
rust,8,100000,100,123.500,129.000,0.020,0.020,8.014,8.014,463.070,2510.350,4.000,4.000
rust,16,100000,100,133.286,135.000,0.040,0.040,7.854,7.854,472.510,2561.510,4.000,4.000
rust,32,100000,100,133.125,137.000,0.040,0.040,8.160,8.160,454.740,2465.190,4.000,4.000
rust,64,100000,100,122.889,136.000,0.060,0.060,9.751,9.751,380.550,2063.000,5.000,5.000
rust,2,100000,1000,97.000,100.000,0.020,0.020,7.790,77.904,476.350,2582.320,40.000,37.000
rust,4,100000,1000,107.851,112.000,0.030,0.030,7.879,78.788,471.000,2553.320,41.000,37.000
rust,8,100000,1000,107.750,116.000,0.040,0.040,8.326,83.264,445.680,2416.080,43.000,40.000
rust,16,100000,1000,110.300,133.000,0.035,0.080,9.867,98.668,376.100,2038.870,52.000,46.000
rust,32,100000,1000,116.125,131.000,0.040,0.040,8.594,85.944,431.790,2340.740,47.000,39.000
rust,64,100000,1000,122.000,131.000,0.060,0.060,8.335,83.354,445.200,2413.470,45.000,38.000
