id,description,value
0,"kif7SvKMnjjcHtm",0.142727
1,"qTrzm1CoJqpiV5c",859.638543
2,"8atPg7UpwPdjXUe",0.461036
3,"NYdgkz4WA9gobPK",498.820289
4,"Y2H4RFb87DRxitB",36.658979
5,"eZmqXRnFwdj4xd5",38.756694
6,"oFXOvoL31EymoIE",7.788632
7,"Aoz1rkkorjn2sPT",4.292623
8,"ZLdFPxUX5WpPNvb",71.089672
9,"KQA0LhAoZ9EBtyj",0.955890
10,"5Z7opVpZYtilFwQ",323.928351
11,"yDXunWvhF5PVLtc",6.976111
12,"lbKr9BKkZ6WlEGG",22.754475
13,"fChl2zriEmoLDze",18.755780
14,"vPvWDtpKctaazxn",5.063755
15,"zVovUWYiNNsxfYf",192.590645
16,"tultI2IwJUHvPnv",279.713517
17,"ahqpPnLj3XlGiKO",0.744897
18,"0xvtsbbGEbelVgn",385.781317
19,"viFqYjdOuYlXlyy",8.854166
20,"W94v1cJGCW7hev8",725.666470
21,"TLazb89YRb7YRu1",3.244187
22,"YSFAeySsoN2TGVa",3.010179
23,"zvVxqnnP3A5DQYs",0.648205
24,"Z0rTzQeIYe2O2kY",4.922175
25,"px9gLEDnJZpZPfC",0.577735
26,"NOiu1AwbbangqHP",2.673804
27,"GvDERTRmqajFSkj",3.208187
28,"RhcIgnGGc51lt61",929.882419
29,"AH1rkxemRPl0Mvf",94.167008
30,"Z8jLStxBRQhqvoY",73.228964
31,"VU4YIgwbv5pljdd",0.588058
32,"77AylIrbdcHvC9o",19.772500
33,"frDahxFXwDgTtWe",8.456464
34,"qUjNnz5UtVvhlzZ",0.836148
35,"rbqfEt5EhNzDXI5",58.692617
36,"8xmWskFaTXmrZV9",819.205678
37,"Yv7JJ19mnoh4slp",74.925275
38,"TSRbc2xs0MyfyUt",12.804594
39,"MCcvXZZ3ae6YYhT",29.533419
40,"HOBYebsHt2LzZPM",0.297219
41,"426hLUSVpzCjNqn",6.475620
42,"iOn9ARlSOIqFb26",260.176596
43,"RDtheOpSLkxJw57",47.038638
44,"JAq7Ax6XOeS1UC0",0.089384
45,"u5vrRFREG1uc6Po",480.453957
46,"LJTE2fzfLBmN0vc",80.772121
47,"YloOWCz5bvs0aSB",6.058607
48,"D3kR8h0lisAFAvK",81.425047
49,"0xqDt8b3Ycj85dY",0.142059
50,"7RyK56eVK11S2pV",297.115675
51,"4A8TMMRMUPcwahJ",475.543667
52,"UUZSyo8ImFIhkPo",0.801194
53,"5RRwf9MWXCZ5HpU",5.800846
54,"FphblYA1KHpkY6d",99.561008
55,"0e62dfgbZRkmjYt",0.422363
56,"O5ecOxEw2sXMl8b",245.918151
57,"1JMZC5EKbX78cAB",3.297293
58,"d8iZfQNLG3zKij9",0.348634
59,"cAkLayOgrfOYBlL",439.120069
60,"QcGZA4wAk25P9Jl",0.176434
61,"jPGYWnAfGIhFsvm",848.377610
62,"XlJmEvaGn1j7HVO",0.951721
63,"UR9p4QLpQuxhnn3",4.138205
64,"KhQjr6t8XM3FeOi",65.683220
65,"8iYJgaAopFQJg76",58.721039
66,"BXhOIMG3rUhT3JH",0.545867
67,"r74JcDKZAVeuAyc",1.022928
68,"iVkNPZclTneCYrI",71.261192
69,"LkW9s7HjSVnEckA",57.762505
70,"HuU9ubRAL8snf3N",7.384588
71,"CP87cvtYLbr0sa5",0.034699
72,"8AH2H0IRChYLPuc",1.470620
73,"Cav2Kb4skr1OTvm",66.952871
74,"M8E3e8CZNTBCiSj",0.249222
75,"qACTlQLnamX838Q",0.503683
76,"awzjt2rit5B1Ir7",76.213976
77,"vlsUn7bTADFpRJ6",166.680954
78,"UAlFd31x4yEiVYo",0.693162
79,"FjQX8AIz37DQ04w",0.347925
80,"Agldk5g40Vo1tFs",82.156936
81,"u0hhNTTciLSGMeH",171.832278
82,"KFYBhRGtYK9vU1b",90.589897
83,"k2fiRdEthd8EHmR",7.687897
84,"qzKB1uiB82bnn3y",0.446186
85,"Hq6xQWrkEa7vn2H",0.104238
86,"kyCzslyuQycnLFd",25.094049
87,"ykP4c64x28ueJTB",0.319175
88,"4RIOtbwNh0SfG05",95.314281
89,"s2Ox3aAWT4ZrDTj",1.773486
90,"Yajwp2K8zPPnMPj",29.650710
91,"VwqRz5Jv1rS5Pff",0.852455
92,"xU34ZiXWJ67AROf",6.091947
93,"o9xvxOfCvcSmfYK",18.260595
94,"dwfyikk8AmnTyWB",593.429087
95,"TWezFfJHgFfeGj4",0.067399
96,"UrW3jrGwchdVHMe",304.352581
97,"MJFCszF4TTUS38f",65.677331
98,"NhO7IyUHlQkAazY",9.130388
99,"t1IX2gxtGgEJN30",0.489846
100,"KSHFGGi8rD7AYQY",5.893271
101,"jNGm1zR6gaO9pQs",473.911948
102,"5Iny1pNtVAunQHL",1.267938
103,"KiHirJvNap39yBp",0.785339
104,"Tcohu5yuMHTwXYo",274.797251
105,"tM3r5Vo35NQFv1C",710.774488
106,"HKquhCxRMXG8wTg",9.778523
107,"WzxTIOWjrwz2s2X",71.445990
108,"XuoHIrwfVZ9mGdd",40.518555
109,"bMY5XevB1vN2iK8",6.527409
110,"sCI5ZhgkAzJxR72",579.892702
111,"VAuSdAAGTh2PwzY",711.869728
112,"ZrymPgS48rvPSLR",9.933005
113,"C4ERwmgyiRpqukD",0.861149
114,"upsNcHNfKYOabEC",1.955288
115,"46YFlmHzatuoKWR",767.615489
116,"Xrc1TuCJbFONVZS",704.881398
117,"qlXprEPoE7PwShT",727.852694
118,"0orbd7TMkvmZGJ7",60.392392
119,"LXTChX185iYEFld",1.966402
120,"Som8FS2MH6vnFGa",818.273408
121,"CjbZwAIlV8iOG6B",0.453418
122,"cHyLq5km3ocIBqm",149.442662
123,"HJN9mIHBmHZd04X",341.368595
124,"i9kX9RmwbwRmIWZ",359.244406
125,"cyZekwHtofO1jSi",0.866988
126,"b8AnXjfHKQM05bl",703.575828
127,"tEtGRbVN0SV3uma",0.735192
128,"hg7uHR6SLzdHZJb",9.751114
129,"E8hHRuYloG6WIMR",86.737352
130,"mFtsrZmiaThA0eL",58.538073
131,"3LBhfKWTNv9QZuA",28.065130
132,"QUbBOMqJTuAooj3",78.341136
133,"pMG16H9sjFdtWrc",0.179618
134,"lozUAHP3XMUcqHV",35.973383
135,"id7pW3w5TGsMrph",3.924300
136,"qmtftSANstxc2oT",28.835277
137,"F46ddcBtWNaGb8g",794.666267
138,"5YZTsYsX0a3bGVA",14.530294
139,"4iUPagISFftQnZf",0.298131
140,"2ZuM2VCAb8Vq3GQ",499.172006
141,"J0LdzV6NEHqPrAl",4.717823
142,"XBDoJHEcf5aWzY1",0.211112
143,"xDUxYNf43fK19Qf",89.846715
144,"uHjAc658KpFHkf3",6.919508
145,"0n5KBojIu0NhcOx",7.263196
146,"LRFyeFzUpPdczRB",180.982207
147,"mb8nZjns5wgOCN3",9.871226
148,"4pLEAPc3g3tNuyX",43.395009
149,"YbMm1kAINGSsJWk",9.420327
150,"JCADbm1s0Qzeby4",0.770304
151,"2Q2RrNVxYl0YzDI",0.990766
152,"zWhHKqPqWP6RKX1",771.769692
153,"SUC10ltVddntbJW",44.208593
154,"diLZhhHGjgyEujs",0.045110
