lang,pool_size,requests,connections,avg_cpu[%],max_cpu[%],avg_mem[%],max_mem[%],total_test_time[s],per_request_mean_time[ms],transfer_rate_rcvd[kB/s],transfer_rate_sent[kB/s],connection_latency[ms],connection_processing_time[ms]
rust,2,100000,10,99.000,102.000,0.040,0.040,7.000,0.700,1813.550,0.000,0.000,0.000,
rust,4,100000,10,106.429,108.000,0.030,0.030,7.468,0.747,1699.870,0.000,0.000,0.000,
rust,8,100000,10,117.000,118.000,0.030,0.030,7.702,0.770,1648.270,0.000,0.000,0.000,
rust,16,100000,10,119.143,121.000,0.040,0.040,7.723,0.772,1643.810,0.000,0.000,0.000,
rust,32,100000,10,122.000,123.000,0.040,0.040,7.685,0.769,1651.930,0.000,0.000,0.000,
rust,64,100000,10,124.571,126.000,0.060,0.060,7.661,0.766,1657.210,0.000,0.000,0.000,
rust,2,100000,100,96.429,103.000,0.030,0.030,7.087,7.087,1791.450,0.000,3.000,4.000,
rust,4,100000,100,107.286,108.000,0.030,0.030,7.084,7.084,1792.080,0.000,3.000,4.000,
rust,8,100000,100,118.429,120.000,0.040,0.040,7.378,7.378,1720.800,0.000,3.000,4.000,
rust,16,100000,100,123.000,124.000,0.020,0.020,7.427,7.427,1709.430,0.000,4.000,4.000,
rust,32,100000,100,124.857,126.000,0.040,0.040,7.633,7.633,1663.280,0.000,4.000,4.000,
rust,64,100000,100,119.750,122.000,0.060,0.060,7.972,7.972,1592.430,0.000,4.000,4.000,
rust,2,100000,1000,94.286,102.000,0.030,0.030,7.246,72.465,1751.930,0.000,37.000,35.000,
rust,4,100000,1000,103.286,112.000,0.040,0.040,7.235,72.351,1754.690,0.000,37.000,35.000,
rust,8,100000,1000,107.714,122.000,0.030,0.030,7.524,75.241,1687.280,0.000,41.000,34.000,
rust,16,100000,1000,109.000,113.000,0.020,0.020,7.800,78.005,1627.510,0.000,41.000,36.000,
rust,32,100000,1000,114.571,124.000,0.030,0.030,7.754,77.542,1637.230,0.000,42.000,36.000,
rust,64,100000,1000,116.857,119.000,0.069,0.070,7.749,77.493,1638.240,0.000,42.000,35.000,
