lang,pool_size,requests,connections,avg_cpu[%],max_cpu[%],avg_mem[%],max_mem[%],total_test_time[s],per_request_mean_time[ms],transfer_rate_rcvd[kB/s],transfer_rate_sent[kB/s],connection_latency[ms],connection_processing_time[ms]
go,2,100000,10,127.375,129.000,0.120,0.120,8.405,0.841,441.510,2393.430,0.000,0.000,
go,4,100000,10,129.000,131.000,0.105,0.110,8.476,0.848,437.840,2373.550,0.000,0.000,
go,8,100000,10,136.625,138.000,0.129,0.130,8.691,0.869,426.980,2314.670,0.000,1.000,
go,16,100000,10,137.330,139.000,0.100,0.100,8.723,0.872,425.400,2306.090,0.000,1.000,
go,32,100000,10,138.500,140.000,0.115,0.120,8.720,0.872,425.570,2307.030,0.000,1.000,
go,64,100000,10,138.875,141.000,0.100,0.110,8.791,0.879,422.130,2288.370,0.000,1.000,
go,2,100000,100,118.750,119.000,0.116,0.120,8.877,8.877,418.050,2266.290,4.000,5.000,
go,4,100000,100,128.000,129.000,0.112,0.120,8.668,8.668,428.110,2320.800,4.000,5.000,
go,8,100000,100,131.125,135.000,0.115,0.120,8.675,8.675,427.780,2318.990,4.000,5.000,
go,16,100000,100,133.125,137.000,0.114,0.120,8.576,8.576,432.720,2345.780,4.000,5.000,
go,32,100000,100,132.125,134.000,0.101,0.110,8.589,8.589,432.040,2342.120,4.000,4.000,
go,64,100000,100,126.000,128.000,0.129,0.130,9.229,9.229,402.100,2179.780,4.000,5.000,
go,2,100000,1000,120.625,122.000,0.117,0.120,8.732,87.317,425.000,2303.920,36.000,51.000,
go,4,100000,1000,116.500,119.000,0.111,0.120,8.674,86.745,427.800,2319.120,38.000,49.000,
go,8,100000,1000,115.375,117.000,0.100,0.100,8.527,85.268,435.210,2359.280,39.000,46.000,
go,16,100000,1000,115.375,118.000,0.114,0.120,8.535,85.347,434.810,2357.110,40.000,45.000,
go,32,100000,1000,117.605,120.000,0.086,0.090,8.565,85.653,433.250,2348.680,40.000,45.000,
go,64,100000,1000,118.875,123.000,0.125,0.130,8.592,85.918,431.920,2341.440,41.000,44.000,
