lang,pool_size,requests,connections,avg_cpu[%],max_cpu[%],avg_mem[%],max_mem[%],total_test_time[s],per_request_mean_time[ms],transfer_rate_rcvd[kB/s],transfer_rate_sent[kB/s],connection_latency[ms],connection_processing_time[ms]
rust,2,100000,10,112.429,115.000,0.020,0.020,7.146,0.715,519.280,2815.030,0.000,0.000,
rust,4,100000,10,124.143,126.000,0.020,0.020,7.514,0.751,493.900,2677.450,0.000,0.000,
rust,8,100000,10,127.375,140.000,0.040,0.040,8.653,0.865,428.860,2324.870,0.000,1.000,
rust,16,100000,10,138.000,144.000,0.040,0.040,8.231,0.823,450.850,2444.090,0.000,0.000,
rust,32,100000,10,145.286,148.000,0.060,0.060,7.781,0.778,476.930,2585.460,0.000,0.000,
rust,64,100000,10,146.286,148.000,0.060,0.060,7.844,0.784,473.080,2564.570,0.000,0.000,
rust,2,100000,100,103.571,107.000,0.020,0.020,7.614,7.614,487.380,2642.120,3.000,4.000,
rust,4,100000,100,115.143,118.000,0.040,0.040,7.666,7.666,484.060,2624.120,3.000,4.000,
rust,8,100000,100,123.500,129.000,0.020,0.020,8.014,8.014,463.070,2510.350,4.000,4.000,
rust,16,100000,100,133.286,135.000,0.040,0.040,7.854,7.854,472.510,2561.510,4.000,4.000,
rust,32,100000,100,133.125,137.000,0.040,0.040,8.160,8.160,454.740,2465.190,4.000,4.000,
rust,64,100000,100,122.889,136.000,0.060,0.060,9.751,9.751,380.550,2063.000,5.000,5.000,
rust,2,100000,1000,97.000,100.000,0.020,0.020,7.790,77.904,476.350,2582.320,40.000,37.000,
rust,4,100000,1000,107.851,112.000,0.030,0.030,7.879,78.788,471.000,2553.320,41.000,37.000,
rust,8,100000,1000,107.750,116.000,0.040,0.040,8.326,83.264,445.680,2416.080,43.000,40.000,
rust,16,100000,1000,110.300,133.000,0.035,0.080,9.867,98.668,376.100,2038.870,52.000,46.000,
rust,32,100000,1000,116.125,131.000,0.040,0.040,8.594,85.944,431.790,2340.740,47.000,39.000,
rust,64,100000,1000,122.000,131.000,0.060,0.060,8.335,83.354,445.200,2413.470,45.000,38.000,
