id,description,value
0,"FWEjLEGBnDy7NNe",0.433828
0,"3OWzWpgshcoSRkP",0.743628
1,"DvQQTbSoCEBooDl",0.577661
1,"8OeW9raKpotK5eD",2.299866
2,"eYTJ11gK4x28nWD",75.658653
2,"3WKGT8j1o8oO198",0.663457
3,"NpWqtECDrg1ZdId",938.797812
3,"ccFqJ9gxo9Xi9iC",0.216249
4,"dL5EODX2g1Pa1dI",110.522021
4,"6XAaLprjeK2sBkD",3.775750
5,"41ELauB2NALz2Vz",0.189800
5,"FUyGXUjY2bwPSNm",71.233831
6,"kw61l5KtPQIAImP",8.171935
6,"x97km1XEsdJbhNX",3.305367
7,"Jvf3GDYShRpSylV",10.435013
7,"YlWshZRlpBcP648",30.132923
8,"SX1bnnpjieJz7K6",0.960617
8,"5FZYUi8QbHAy9C3",9.539687
9,"IDM4M3IDARR2nkP",6.387413
9,"TbRWIchONmKr120",4.187195
10,"C0TOEbjocvC7IU1",2.145456
10,"wW5qFEyiRrgN2IT",26.623605
11,"BdlCgFyIjjGGc1w",6.149855
11,"6XIfNDfvT3NtMo7",5.044702
12,"Lc8OX7rhkcOjnRK",812.810467
12,"S3sgMFeUgaxEKeF",634.808174
13,"bHSkY6khzAKdNdQ",11.565868
13,"1K08mIkL0XN4MjY",0.650256
14,"M6bXIcwibIUVtNs",3.680334
14,"IzTzmhI6efA4N4H",0.451002
15,"SQbDphC6PTPgAdW",71.609390
15,"SKQ3VZ7Js4TBmrE",67.944985
16,"vMuleSZrIaCwSRu",40.521682
16,"EQvt4iFiv56Hu1A",55.631197
17,"khoQ6FTwxFsrxRG",82.848524
17,"VTmDcoBOC3jLA97",8.103895
18,"aNbUuasPrBYgQ9I",1.217711
18,"Lsq6cpTcDPw87FC",0.262271
19,"bout6lFCyEWxbKs",669.658643
19,"rrcvrzBf5xnG50G",9.674928
20,"lzdLWlzq6yMn5GL",4.645570
20,"c5fBG9Pkncwc7gL",599.067093
21,"lZHyHjy8iO8xkNP",947.753596
21,"EVhmJGnPBA2XDgy",7.205514
22,"hnJ5dLtt2KHUXxq",0.229849
22,"OPJ39jvWU3DO1BL",8.789611
23,"YYfhSwzYINatUla",74.629740
23,"qlQsJcOzlHxCXQu",0.105826
24,"joVx0TxphRCHBsT",11.856907
24,"zaM3dk2S0cMbgQj",36.730983
25,"BtoOldXktJuMZ9J",568.193731
25,"HGAceQWqWgaHcPa",12.710793
26,"kwYELxeJXSXmwmy",0.371534
26,"0V88EWVlLWhVzlQ",0.051790
27,"Qseh8ZlfBvvtMAj",2.146953
27,"c4sZLHA305Dh08v",182.183429
28,"b0ebgZ0snn6LDhp",0.876542
28,"JMQW2DwQnGrMqdD",0.051238
29,"KV2w94p5HunbYmu",0.848015
29,"z0MImACuS5tQ5Y9",764.230846
30,"kMSWcb5zWNTSUmr",0.238963
30,"P8Hu0PwkAqWJMGY",17.998183
31,"IBrJEssHE0F5DLT",965.999309
31,"vzhCXZy63CVYDHG",89.293803
32,"hvm9Exc6IPy8gfK",882.926006
32,"dKOnYZky5J5oZdk",6.894168
33,"LWltZQwviCPnlbf",2.769269
33,"oEL5O3202YhTiR9",93.852305
34,"37bjr2lZ9xc0KxK",5.921108
34,"IpZ6LhNxpj9dXoj",24.214230
35,"C9N8QFdgqUFgDZm",727.917605
35,"RXPRhVTSNA1Dtr6",0.007294
36,"2NRRkaKrhXIxWM4",10.039073
36,"AuGmMqJ9p9cLM2U",4.757202
